condition,dice,iou,boundary_f1,hd95,area_error
MedSAM original,0.6772468420312258,0.5345676084767483,0.1393769910384176,131.00369874815203,0.3119994678093072
MedSAM counterfactual,0.8308603014915151,0.7271969485327051,0.20744421564519352,93.13252627413802,0.18603319844945754
matched_cf_to_original / whole,0.8308603014915151,0.727196948532705,0.20744421564519355,93.13252627413803,0.1860331984494576
reverse_original_to_cf / whole,0.6772468420312258,0.5345676084767484,0.13937699103841766,131.00369874815203,0.3119994678093072
nonmatched_cf_to_original / whole,0.672286485096704,0.516961546668305,0.05732269772818404,135.87834544805932,0.2149875897572326
matched_cf_to_original / background,0.7758442161700692,0.6629321108991855,0.2101315626499821,100.88199172197481,0.18532672023905367
matched_cf_to_original / boundary,0.6948060962133527,0.5602617408956899,0.14412690373587037,115.70869065247142,0.2195559068478198
matched_cf_to_original / random_like_boundary,0.7290962939030671,0.5943547545081415,0.13833726713718003,125.11928788525826,0.3416769228511258
matched_cf_to_original / random_like_background,0.8159490212443115,0.7060833370385072,0.18750883850845648,102.11200379772303,0.22438070077721353
