comparison,baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,candidate_better_fraction
cfseg vs original,original,cfseg,dice,50,0.6772468420312258,0.8308603014915151,0.15361345946028945,0.1129371436913641,0.19776285876155955,3.6148861681795097e-12,0.88
cfseg vs original,original,cfseg,iou,50,0.5345676084767483,0.7271969485327051,0.19262934005595667,0.146640413995384,0.2419665436363365,8.842704346534447e-12,0.88
cfseg vs original,original,cfseg,boundary_f1,50,0.1393769910384176,0.20744421564519352,0.0680672246067759,0.041910871527780974,0.09474250937266344,2.9747345218211763e-05,0.66
cfseg vs original,original,cfseg,hd95,50,131.00369874815203,93.13252627413802,-37.87117247401402,-54.45582207244672,-21.56803687114457,4.213757459226031e-05,0.74
cfseg vs original,original,cfseg,area_error,50,0.3119994678093072,0.18603319844945754,-0.12596626935984967,-0.23921067061790582,-0.006790346289790897,0.017101069545240932,0.72
cxr_sd vs original,original,cxr_sd,dice,50,0.6772468420312258,0.7785688327230085,0.10132199069178287,0.06157440741597886,0.14582704706583896,8.784112139892386e-07,0.8
cxr_sd vs original,original,cxr_sd,iou,50,0.5345676084767483,0.6526300487023782,0.11806244022562984,0.07413928575400179,0.16679787330901652,9.364108866094512e-07,0.8
cxr_sd vs original,original,cxr_sd,boundary_f1,50,0.1393769910384176,0.14655891729952564,0.007181926261107993,-0.009021383547022631,0.024074616360591213,0.7018365959451138,0.44
cxr_sd vs original,original,cxr_sd,hd95,50,131.00369874815203,109.62517700417058,-21.378521743981434,-33.85210955903148,-9.663759002031327,0.0011471783973160399,0.68
cxr_sd vs original,original,cxr_sd,area_error,50,0.3119994678093072,0.31538036904904126,0.0033809012397340967,-0.0992480420874992,0.11094806183826196,0.5918179227766114,0.6
cfseg vs cxr_sd,cxr_sd,cfseg,dice,50,0.7785688327230085,0.8308603014915151,0.05229146876850661,0.03295005811072064,0.07217752823851066,1.206143563692308e-06,0.78
cfseg vs cxr_sd,cxr_sd,cfseg,iou,50,0.6526300487023782,0.7271969485327051,0.07456689983032683,0.04772324411716351,0.1022075279336789,1.3667570399888973e-06,0.78
cfseg vs cxr_sd,cxr_sd,cfseg,boundary_f1,50,0.14655891729952564,0.20744421564519352,0.06088529834566793,0.04006258518553931,0.08207942229738417,1.859966783257505e-06,0.76
cfseg vs cxr_sd,cxr_sd,cfseg,hd95,50,109.62517700417058,93.13252627413802,-16.49265073003257,-30.810253891762702,-2.6573320365158066,0.02122367163684835,0.72
cfseg vs cxr_sd,cxr_sd,cfseg,area_error,50,0.31538036904904126,0.18603319844945754,-0.12934717059958373,-0.2025771950864208,-0.05594847172158483,0.0003825853095680287,0.78
