control,region,dice,iou,boundary_f1,hd95,area_error
nonmatched_cf_to_original,background,0.6915768639275025,0.5556202910910187,0.21466956953982028,112.90620355078107,0.16199849281115417
matched_cf_to_original,background,0.7779102389331984,0.6540977668209642,0.19643127136196806,107.1288008450886,0.2670268755169058
reverse_original_to_cf,background,0.7698496513398523,0.6365858105178419,0.18729197315330112,118.35904716262765,0.3762552640839697
matched_cf_to_original,whole,0.7998254412014696,0.6789764681973115,0.17213795303771523,103.93325089021182,0.2837298024795727
reverse_original_to_cf,interior,0.7768111255627698,0.6505849785941022,0.163881178447894,107.50427810301746,0.27092170697068324
matched_cf_to_original,interior,0.7705685736044289,0.6381292546201061,0.16196631349584392,119.52126826481819,0.3792516379886433
reverse_original_to_cf,boundary,0.8011872478170254,0.6794183162876953,0.16101398391040045,101.29953116553953,0.2924023234139509
reverse_original_to_cf,whole,0.7257746415341987,0.5871690317311429,0.15614414905212187,123.4864809018699,0.3243841969150336
matched_cf_to_original,boundary,0.7421439785428698,0.6048452461422856,0.1515873756802962,119.76522501867943,0.3406546956391181
nonmatched_cf_to_original,interior,0.7295809278537303,0.5857087606331604,0.1378019209877772,117.20658636524004,0.31371187001683865
nonmatched_cf_to_original,whole,0.6111015534576297,0.45314487789556956,0.054980885402019994,136.75751825935382,0.18733378195680228
nonmatched_cf_to_original,boundary,0.6299151539700822,0.47324190816944134,0.050759093525317066,130.03282460528334,0.3451137895575534
